Time (ms),UNKNOWN,STILL,FALLING,STOPPED
92045336,,0.000000,,
142,,0.985189,,
148,,0.985189,,
167,,0.984438,,
170,,0.984438,,
187,,0.984438,,
188,,1.002307,,
203,,1.002307,,
234,,0.985189,,
245,,0.985189,,
249,,0.985189,,
264,,0.985189,,
269,,0.984438,,
285,,0.984438,,
292,,0.951906,,
307,,0.951906,,
310,,1.002307,,
328,,0.985189,,
332,,0.985189,,
348,,0.985189,,
352,,0.984438,,
367,,1.001569,,
372,,1.002307,,
387,,0.985189,,
392,,0.985189,,
407,,0.985189,,
422,,0.985189,,
423,,1.002307,,
438,,1.002307,,
443,,1.002307,,
458,,1.001569,,
463,0.951129,,,
478,0.951129,,,
493,,0.984438,,
494,,0.985189,,
509,,0.985189,,
514,,1.002307,,
530,,1.002307,,
535,,1.002307,,
550,,1.002307,,
568,,0.985189,,
573,,0.951129,,
588,,0.951906,,
603,,0.968849,,
604,,0.968849,,
619,,1.002307,,
624,,1.018731,,
639,,1.018731,,
644,,1.002307,,
662,,1.002307,,
665,,0.985189,,
680,,0.985189,,
695,,0.984438,,
697,,1.002307,,
712,,0.984438,,
715,,0.985189,,
730,,0.984438,,
735,,0.984438,,
753,,1.001569,,
755,,0.968849,,
770,,1.002307,,
775,,1.002307,,
790,,1.002307,,
805,,1.018731,,
807,,0.985189,,
822,,0.984438,,
827,,0.951906,,
842,,0.951906,,
847,,0.951129,,
862,,0.951129,,
878,,1.002307,,
879,,1.035295,,
897,,1.035295,,
900,,1.035295,,
915,0.984438,,,
919,0.984438,,,
934,0.951129,,,
938,0.951129,,,
953,,1.002307,,
959,,1.002307,,
974,,1.035295,,
978,,1.035295,,
993,,1.018731,,
1008,,0.984438,,
1009,,0.934655,,
1018,,0.934655,,
1033,,0.951129,,
1048,,1.001569,,
1049,,1.001569,,
1064,,1.035295,,
1069,,1.035295,,
1084,,1.003368,,
1089,0.941423,,,
1104,0.873289,,,
1119,0.793780,,,
1120,0.701846,,,
1138,0.701846,,,
1140,0.308525,,,
1160,,,0.038462,
1175,,,0.038462,
1180,,,0.037037,
1200,,,0.000000,
1215,,,0.037037,
1232,,,0.038462,
1267,,,0.038462,
1272,,,0.053395,
1287,,,0.037037,
1292,,,0.038462,
1307,,,0.037037,
1312,,,0.000000,
1343,,,0.037037,
1358,,,0.053395,
1363,,,0.053395,
1380,,,0.037037,
1384,,,0.053395,
1420,,,0.053395,
1444,,,0.053395,
1460,,,0.053395,
1465,,,0.053395,
1480,,,0.053395,
1485,,,0.053395,
1505,,,0.053395,
1522,,,0.083464,
1525,,,0.053395,
1540,,,0.083464,
1555,,,0.083464,
1557,,,0.053395,
1572,,,0.083464,
1575,,,0.083464,
1595,,,0.083464,
1644,,,0.117580,
1682,,,0.083464,
1687,,,0.117580,
1717,,,0.117580,
1718,,,0.117580,
1733,,,0.117580,
1748,,,0.117580,
1749,,,0.117580,
1765,,,0.117580,
1804,,,0.153059,
1829,,,0.153059,
1844,,,0.153059,
1849,,,0.153059,
1864,,,0.153059,
1869,,,0.157818,
1915,,,0.157818,
1920,,,0.204181,
1950,,,0.193008,
1952,,,0.193008,
1967,,,0.193008,
1972,,,0.193008,
1992,,,0.204181,
2010,,,0.204181,
2012,,,0.193008,
2020,,,0.193008,
2035,,,0.193008,
2050,,,0.228782,
2067,,,0.228782,
2072,,,0.193008,
2087,,,0.228782,
2092,,,0.204181,
2107,,,0.238284,
2113,,,0.228782,
2128,,,0.238284,
2133,,,0.238284,
2148,,,0.238284,
2153,,,0.238284,
2183,,,0.238284,
2204,,,0.238284,
2220,,,0.238284,
2224,,,0.238284,
2239,,,0.235159,
2244,,,0.235159,
2259,,,0.238284,
2264,,,0.238284,
2279,,,0.214774,
2294,,,0.275699,
2295,,,0.261942,
2315,,,0.261942,
2330,,,0.261942,
2335,,,0.275699,
2350,,,0.293879,
2365,,,0.293879,
2383,,,0.275699,
2387,,,0.247421,
2402,,,0.275699,
2417,,,0.261942,
2418,,,0.315719,
2433,,,0.293879,
2437,,,0.293879,
2453,,,0.315719,
2457,,,0.315719,
2475,,,0.315719,
2478,,,0.340515,
2494,,,0.367671,
2498,,,0.357470,
2513,,,0.383357,
2518,,,,3.268270
2533,,,,3.055484
2538,,,,2.779661
2553,,,,0.806878
2559,,,,0.085375
2574,,,,0.189137
2579,,,,0.123711
2594,,,,0.083464
2599,,,,0.083464
2637,,,,0.111111
2638,,,,0.083464
2639,,,,0.117580
2659,,,,0.091900
2674,,,,0.083464
2690,,,,0.083464
2705,,,,0.074074
2710,,,,0.083464
2725,,,,0.083464
2730,,,,0.091900
2750,,,,0.083464
2765,,,,0.091900
2770,,,,0.091900
2800,,,,0.083464
2817,,,,0.091900
2822,,,,0.091900
2838,,,,0.091900
2842,,,,0.083464
2857,,,,0.091900
2862,,,,0.091900
2877,,,,0.083464
2892,,,,0.083464
2913,,,,0.091900
2928,,,,0.083464
2933,,,,0.083464
2948,,,,0.074074
2983,,,,0.083464
2984,,,,0.074074
2999,,,,0.083464
3004,,,,0.083464
3019,,,,0.074074
3024,,,,0.074074
3040,,,,0.074074
3044,,,,0.074074
3059,,,,0.074074
3064,,,,0.074074
3079,,,,0.074074
3094,,,,0.083464
3095,,,,0.074074
3110,,,,0.083464
3115,,,,0.074074
3130,,,,0.074074
3135,,,,0.074074
3152,,,,0.074074
3155,,,,0.074074
3170,,,,0.074074
3175,,,,0.074074
3190,,,,0.074074
3205,,,,0.083464
3207,,,,0.074074
3227,,,,0.074074
3257,,,,0.053395
3278,,,,0.053395
3298,,,,0.053395
3314,,,,0.053395
3318,,,,0.053395
3333,,,,0.053395
3353,,,,0.053395
3368,,,,0.053395
3369,,,,0.038462
3389,,,,0.038462
3409,,,,0.038462
3429,,,,0.038462
3444,,,,0.037037
3449,,,,0.000000
3464,,,,0.037037
3479,,,,0.037037
3480,,,,0.037037
3495,,,,0.117580
3500,,,,5.561514
3515,,,,4.108140
3520,,,,3.775489
3535,,,,1.695694
3540,,,,1.294464
3555,,,,1.200125
3570,,,,0.702626
3572,,,,0.811663
3587,,,,1.624384
3592,,,,1.393195
3607,,,,1.296010
3622,,,,1.287963
3623,,,,1.272395
3638,,,,1.271782
3642,,,,1.271782
3657,,,,1.265368
3672,,,,1.271782
3688,,,,1.265836
3693,,,,1.265836
3708,,,,1.265836
3713,,,,1.259392
3728,,,,1.259392
