t,x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
1,0.2093,-0.7998,-0.3507,,,,,,,,,
2,0.4139,0.4677,-0.6174,,,,,,,,,
3,0.2316,1.5257,-1.2205,,,,,,,,,
4,0.0751,0.6434,-1.7126,,,,,,,,,
5,1.5146,1.4608,0.9465,,,,,,,,,
6,1.7840,2.0034,1.3610,,,,,,,,,
7,1.3692,1.9460,1.3860,,,,,,,,,
8,1.2174,1.8101,1.3410,,,,,,,,,
9,-0.4239,0.4433,0.6881,,,,,,,,,
10,-1.5124,0.2283,0.3724,,,,,,,,,
11,-1.9177,1.2794,0.4149,,,,,,,,,
12,-1.9241,1.4939,0.3938,,,,,,,,,
13,-1.9732,0.8562,0.0601,,,,,,,,,
14,-1.8561,0.9839,0.1496,,,,,,,,,
15,-1.7455,0.2744,0.0897,,,,,,,,,
16,-0.8768,0.3120,0.4995,,,,,,,,,
17,-0.5550,0.4016,0.5873,,,,,,,,,
18,-0.4986,0.4055,0.5974,,,,,,,,,
19,-0.4345,0.4060,0.6214,,,,,,,,,
20,-0.2885,0.4001,0.6445,,,,,,,,,
21,0.1440,0.1398,0.4903,,,,,,,,,
22,1.1044,-0.0505,-0.0623,,,,,,,,,
23,1.1050,0.2894,-0.4509,,,,,,,,,
24,-0.1590,1.7514,-1.3487,,,,,,,,,
25,-0.9060,1.5453,-1.4619,,,,,,,,,
26,0.6228,0.5677,0.1148,,,,,,,,,
27,-0.1174,-0.0099,0.5307,,,,,,,,,
28,-1.7739,-0.6018,-0.4731,,,,,,,,,
29,-2.6411,0.0118,-0.6115,,,,,,,,,
30,-2.6362,0.7726,-0.4718,,,,,,,,,
31,-2.1037,1.5592,-0.1713,,,,,,,,,
32,-1.0112,0.9602,-0.1085,,,,,,,,,
33,-0.5453,-0.1519,-0.2366,,,,,,,,,
34,-0.4096,-0.4129,0.1216,,,,,,,,,
35,-0.0468,-0.3505,0.5298,,,,,,,,,
36,0.1439,0.0860,0.7966,,,,,,,,,
37,0.4843,0.9152,1.1028,,,,,,,,,
38,1.1111,1.8722,1.1399,,,,,,,,,
39,1.4600,0.6318,0.6052,,,,,,,,,
40,1.1458,1.1040,0.1927,,,,,,,,,
41,-1.0457,0.7709,-1.7560,,,,,,,,,
42,-0.7718,-0.8636,-1.8577,,,,,,,,,
43,0.5782,-0.5528,-0.4199,,,,,,,,,
44,1.2652,0.9712,0.9110,,,,,,,,,
45,0.7319,0.5909,0.7297,,,,,,,,,
46,-0.0811,0.0226,0.2573,,,,,,,,,
47,-1.6972,0.0129,-0.1394,,,,,,,,,
48,-2.8237,0.4504,-0.1573,,,,,,,,,
49,-3.0601,1.0624,-0.0631,,,,,,,,,
50,-2.8376,1.4787,-0.0527,,,,,,,,,
51,-2.6050,1.5221,-0.0141,,,,,,,,,
52,-2.0416,1.4085,-0.1350,,,,,,,,,
53,-1.0118,0.5178,-0.1024,,,,,,,,,
54,-0.5562,-0.3835,-0.0530,,,,,,,,,
55,-0.0772,-0.1956,0.4908,,,,,,,,,
56,0.3515,0.4636,0.9087,,,,,,,,,
57,0.9105,1.3850,1.2934,,,,,,,,,
58,0.9655,1.4710,1.3069,,,,,,,,,
59,1.0190,1.5567,1.3207,,,,,,,,,
60,1.2830,1.8836,1.3511,,,,,,,,,
61,1.6739,0.6970,0.8600,,,,,,,,,
62,0.3237,0.8559,0.0999,,,,,,,,,
63,-2.2380,1.3345,-2.0407,,,,,,,,,
64,-1.7544,-0.5439,-2.8380,,,,,,,,,
65,-0.1954,-0.9180,-1.4716,,,,,,,,,
66,0.1691,0.5294,0.3646,,,,,,,,,
67,-1.8310,0.0380,-0.3481,,,,,,,,,
68,-2.7159,0.0087,-0.7455,,,,,,,,,
69,-3.1841,0.2005,-0.7372,,,,,,,,,
70,-3.1206,0.6778,-0.5898,,,,,,,,,
71,-2.7088,0.9371,-0.1407,,,,,,,,,
72,-0.8544,1.5233,0.3664,,,,,,,,,
73,-0.5290,0.5538,0.4355,,,,,,,,,
74,0.0948,0.7998,0.7860,,,,,,,,,
75,0.8006,1.2024,1.0455,,,,,,,,,
76,1.7751,2.1402,1.4960,,,,,,,,,
77,1.7566,2.0974,1.4757,,,,,,,,,
78,1.4242,1.4198,1.2671,,,,,,,,,
79,-0.4804,0.3907,-0.0620,,,,,,,,,
80,-1.8371,-0.2127,-1.5723,,,,,,,,,
81,-1.5668,-0.4541,-2.2332,,,,,,,,,
82,-0.5003,-0.8376,-1.7094,,,,,,,,,
83,0.5801,0.7356,0.1317,,,,,,,,,
84,-1.3380,0.8028,-0.2486,,,,,,,,,
85,-1.7519,0.8756,-0.3027,,,,,,,,,
86,-2.3048,0.9448,-0.5139,,,,,,,,,
87,-3.1238,0.7909,-0.5167,,,,,,,,,
88,-3.2055,1.1650,-0.3584,,,,,,,,,
89,-2.9078,1.0259,-0.5979,,,,,,,,,
90,-2.2786,1.5772,-0.1856,,,,,,,,,
91,-1.8548,1.9285,0.1351,,,,,,,,,
92,-1.5319,1.9865,0.2294,,,,,,,,,
93,-1.0911,1.3415,0.3370,,,,,,,,,
94,-0.5630,1.0249,0.5329,,,,,,,,,
95,0.1702,1.2007,0.6831,,,,,,,,,
96,1.0969,0.7420,0.7372,,,,,,,,,
97,1.6272,-0.7220,0.4983,,,,,,,,,
98,1.7035,-0.9418,0.3662,,,,,,,,,
99,1.7000,-0.9907,0.3617,,,,,,,,,
100,0.9978,-0.8130,0.1081,,,,,,,,,
101,-2.2197,1.6552,-1.4593,-0.5573,0.6831,0.0430,1.7840,-3.2055,2.1402,-0.9907,1.4960,-2.8380
102,-1.3212,-1.4571,-2.3132,-0.5746,0.6639,0.0260,1.7840,-3.2055,2.1402,-1.4571,1.4960,-2.8380
103,-0.1043,-1.8428,-1.0698,-0.5780,0.6302,0.0275,1.7840,-3.2055,2.1402,-1.8428,1.4960,-2.8380
104,0.8721,0.6107,0.5202,-0.5700,0.6299,0.0498,1.7840,-3.2055,2.1402,-1.8428,1.4960,-2.8380
105,0.5061,1.0518,0.5936,-0.5801,0.6258,0.0463,1.7840,-3.2055,2.1402,-1.8428,1.4960,-2.8380
106,-2.9792,1.4677,-1.0750,-0.6277,0.6204,0.0219,1.7751,-3.2055,2.1402,-1.8428,1.4960,-2.8380
