t,x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
1,0.2093,-0.7998,-0.3507,,,,,,,,,
2,0.4139,0.4677,-0.6174,,,,,,,,,
3,0.2316,1.5257,-1.2205,,,,,,,,,
4,0.0751,0.6434,-1.7126,,,,,,,,,
5,1.5146,1.4608,0.9465,,,,,,,,,
6,1.7840,2.0034,1.3610,,,,,,,,,
7,1.3692,1.9460,1.3860,,,,,,,,,
8,1.2174,1.8101,1.3410,,,,,,,,,
9,-0.4239,0.4433,0.6881,,,,,,,,,
10,-1.5124,0.2283,0.3724,,,,,,,,,
11,-1.9177,1.2794,0.4149,,,,,,,,,
12,-1.9241,1.4939,0.3938,,,,,,,,,
13,-1.9732,0.8562,0.0601,,,,,,,,,
14,-1.8561,0.9839,0.1496,,,,,,,,,
15,-1.7455,0.2744,0.0897,,,,,,,,,
16,-0.8768,0.3120,0.4995,,,,,,,,,
17,-0.5550,0.4016,0.5873,,,,,,,,,
18,-0.4986,0.4055,0.5974,,,,,,,,,
19,-0.4345,0.4060,0.6214,,,,,,,,,
20,-0.2885,0.4001,0.6445,,,,,,,,,
21,0.1440,0.1398,0.4903,-0.3628,0.8741,0.3547,1.7840,-1.9732,2.0034,0.1398,1.3860,-1.7126
22,1.1044,-0.0505,-0.0623,-0.3283,0.8482,0.3824,1.7840,-1.9732,2.0034,-0.0505,1.3860,-1.7126
23,1.1050,0.2894,-0.4509,-0.2846,0.7864,0.4209,1.7840,-1.9732,2.0034,-0.0505,1.3860,-1.7126
24,-0.1590,1.7514,-1.3487,-0.2963,0.8417,0.4391,1.7840,-1.9732,2.0034,-0.0505,1.3860,-1.3487
25,-0.9060,1.5453,-1.4619,-0.4174,0.8460,0.3187,1.7840,-1.9732,2.0034,-0.0505,1.3860,-1.4619
26,0.6228,0.5677,0.1148,-0.4754,0.7742,0.2563,1.3692,-1.9732,1.9460,-0.0505,1.3860,-1.4619
27,-0.1174,-0.0099,0.5307,-0.5498,0.6764,0.2136,1.2174,-1.9732,1.8101,-0.0505,1.3410,-1.4619
28,-1.7739,-0.6018,-0.4731,-0.6993,0.5558,0.1229,1.1050,-1.9732,1.7514,-0.6018,0.6881,-1.4619
29,-2.6411,0.0118,-0.6115,-0.8102,0.5342,0.0579,1.1050,-2.6411,1.7514,-0.6018,0.6445,-1.4619
30,-2.6362,0.7726,-0.4718,-0.8664,0.5614,0.0157,1.1050,-2.6411,1.7514,-0.6018,0.6445,-1.4619
31,-2.1037,1.5592,-0.1713,-0.8757,0.5754,-0.0136,1.1050,-2.6411,1.7514,-0.6018,0.6445,-1.4619
32,-1.0112,0.9602,-0.1085,-0.8300,0.5487,-0.0387,1.1050,-2.6411,1.7514,-0.6018,0.6445,-1.4619
33,-0.5453,-0.1519,-0.2366,-0.7586,0.4983,-0.0536,1.1050,-2.6411,1.7514,-0.6018,0.6445,-1.4619
34,-0.4096,-0.4129,0.1216,-0.6863,0.4285,-0.0550,1.1050,-2.6411,1.7514,-0.6018,0.6445,-1.4619
35,-0.0468,-0.3505,0.5298,-0.6014,0.3973,-0.0330,1.1050,-2.6411,1.7514,-0.6018,0.6445,-1.4619
36,0.1439,0.0860,0.7966,-0.5503,0.3860,-0.0181,1.1050,-2.6411,1.7514,-0.6018,0.7966,-1.4619
37,0.4843,0.9152,1.1028,-0.4984,0.4116,0.0077,1.1050,-2.6411,1.7514,-0.6018,1.1028,-1.4619
38,1.1111,1.8722,1.1399,-0.4179,0.4850,0.0348,1.1111,-2.6411,1.8722,-0.6018,1.1399,-1.4619
39,1.4600,0.6318,0.6052,-0.3232,0.4963,0.0340,1.4600,-2.6411,1.8722,-0.6018,1.1399,-1.4619
40,1.1458,1.1040,0.1927,-0.2514,0.5315,0.0114,1.4600,-2.6411,1.8722,-0.6018,1.1399,-1.4619
41,-1.0457,0.7709,-1.7560,-0.3109,0.5630,-0.1009,1.4600,-2.6411,1.8722,-0.6018,1.1399,-1.7560
42,-0.7718,-0.8636,-1.8577,-0.4047,0.5224,-0.1907,1.4600,-2.6411,1.8722,-0.8636,1.1399,-1.8577
43,0.5782,-0.5528,-0.4199,-0.4311,0.4802,-0.1891,1.4600,-2.6411,1.8722,-0.8636,1.1399,-1.8577
44,1.2652,0.9712,0.9110,-0.3599,0.4412,-0.0762,1.4600,-2.6411,1.8722,-0.8636,1.1399,-1.8577
45,0.7319,0.5909,0.7297,-0.2780,0.3935,0.0334,1.4600,-2.6411,1.8722,-0.8636,1.1399,-1.8577
46,-0.0811,0.0226,0.2573,-0.3132,0.3663,0.0405,1.4600,-2.6411,1.8722,-0.8636,1.1399,-1.8577
47,-1.6972,0.0129,-0.1394,-0.3922,0.3674,0.0070,1.4600,-2.6411,1.8722,-0.8636,1.1399,-1.8577
48,-2.8237,0.4504,-0.1573,-0.4446,0.4200,0.0228,1.4600,-2.8237,1.8722,-0.8636,1.1399,-1.8577
49,-3.0601,1.0624,-0.0631,-0.4656,0.4725,0.0502,1.4600,-3.0601,1.8722,-0.8636,1.1399,-1.8577
50,-2.8376,1.4787,-0.0527,-0.4757,0.5078,0.0712,1.4600,-3.0601,1.8722,-0.8636,1.1399,-1.8577
51,-2.6050,1.5221,-0.0141,-0.5007,0.5060,0.0791,1.4600,-3.0601,1.8722,-0.8636,1.1399,-1.8577
52,-2.0416,1.4085,-0.1350,-0.5523,0.5284,0.0777,1.4600,-3.0601,1.8722,-0.8636,1.1399,-1.8577
53,-1.0118,0.5178,-0.1024,-0.5756,0.5619,0.0844,1.4600,-3.0601,1.8722,-0.8636,1.1399,-1.8577
54,-0.5562,-0.3835,-0.0530,-0.5829,0.5634,0.0757,1.4600,-3.0601,1.8722,-0.8636,1.1399,-1.8577
55,-0.0772,-0.1956,0.4908,-0.5844,0.5711,0.0738,1.4600,-3.0601,1.8722,-0.8636,1.1399,-1.8577
56,0.3515,0.4636,0.9087,-0.5741,0.5900,0.0794,1.4600,-3.0601,1.8722,-0.8636,1.1399,-1.8577
57,0.9105,1.3850,1.2934,-0.5527,0.6135,0.0889,1.4600,-3.0601,1.8722,-0.8636,1.2934,-1.8577
58,0.9655,1.4710,1.3069,-0.5600,0.5934,0.0973,1.4600,-3.0601,1.5221,-0.8636,1.3069,-1.8577
