t,x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
1,0.0246,0.9939,0.1992,,,,,,,,,
2,0.0262,0.9846,0.1981,,,,,,,,,
3,0.0235,0.9908,0.2014,,,,,,,,,
4,0.0259,0.9926,0.2030,,,,,,,,,
5,0.0259,0.9872,0.2003,,,,,,,,,
6,0.0270,0.9896,0.2019,,,,,,,,,
7,0.0263,0.9912,0.1964,,,,,,,,,
8,0.0242,0.9911,0.1981,,,,,,,,,
9,0.0275,0.9890,0.1987,,,,,,,,,
10,0.0262,0.9889,0.1953,,,,,,,,,
11,0.0283,0.9875,0.1993,,,,,,,,,
12,0.0242,0.9890,0.1987,,,,,,,,,
13,0.0256,0.9852,0.2026,,,,,,,,,
14,0.0248,0.9972,0.2012,,,,,,,,,
15,0.0258,0.9850,0.1956,,,,,,,,,
16,0.0262,0.9921,0.2033,,,,,,,,,
17,0.0263,0.9864,0.2009,,,,,,,,,
18,0.0270,0.9907,0.1959,,,,,,,,,
19,0.0247,0.9932,0.2000,,,,,,,,,
20,0.0263,0.9856,0.1977,,,,,,,,,
21,0.0261,0.9916,0.1989,,,,,,,,,
22,0.0242,0.9884,0.2052,,,,,,,,,
23,0.0300,0.9924,0.1987,,,,,,,,,
24,0.0215,0.9955,0.2014,,,,,,,,,
25,0.0294,0.9961,0.2004,,,,,,,,,
26,0.0266,0.9864,0.2004,,,,,,,,,
27,0.0235,0.9895,0.1988,,,,,,,,,
28,0.0274,0.9896,0.1990,,,,,,,,,
29,0.0267,0.9857,0.1958,,,,,,,,,
30,0.0245,0.9937,0.1948,,,,,,,,,
31,0.0203,0.9928,0.2003,,,,,,,,,
32,0.0255,0.9869,0.2003,,,,,,,,,
33,0.0264,0.9888,0.1992,,,,,,,,,
34,0.0268,0.9904,0.1975,,,,,,,,,
35,0.0233,0.9901,0.2014,,,,,,,,,
36,0.0255,0.9941,0.1975,,,,,,,,,
37,0.0235,0.9906,0.1990,,,,,,,,,
38,0.0246,0.9902,0.1978,,,,,,,,,
39,0.0253,0.9882,0.1973,,,,,,,,,
40,0.0277,0.9929,0.2014,,,,,,,,,
41,0.0267,0.9943,0.2030,,,,,,,,,
42,0.0284,0.9901,0.2006,,,,,,,,,
43,0.0244,0.9889,0.2020,,,,,,,,,
44,0.0234,0.9901,0.2011,,,,,,,,,
45,0.0267,0.9847,0.1992,,,,,,,,,
46,0.0228,0.9960,0.2010,,,,,,,,,
47,0.0297,0.9856,0.2042,,,,,,,,,
48,0.0273,0.9874,0.2008,,,,,,,,,
49,0.0222,0.9935,0.1982,,,,,,,,,
50,0.0244,0.9885,0.2032,,,,,,,,,
51,0.0246,0.9911,0.1993,,,,,,,,,
52,0.0207,0.9868,0.1992,,,,,,,,,
53,0.0244,0.9907,0.1927,,,,,,,,,
54,0.0263,0.9910,0.2017,,,,,,,,,
55,0.0279,0.9886,0.1992,,,,,,,,,
56,0.0278,0.9864,0.1997,,,,,,,,,
57,0.0224,0.9907,0.1998,,,,,,,,,
58,0.0233,0.9910,0.2025,,,,,,,,,
59,0.0251,0.9838,0.1993,,,,,,,,,
60,0.0272,0.9904,0.2030,,,,,,,,,
61,0.0262,0.9907,0.2030,,,,,,,,,
62,0.0261,0.9883,0.1994,,,,,,,,,
63,0.0248,0.9935,0.2009,,,,,,,,,
64,0.0269,0.9867,0.2005,,,,,,,,,
65,0.0246,0.9961,0.2008,,,,,,,,,
66,0.0269,0.9888,0.1973,,,,,,,,,
67,0.0252,0.9922,0.1995,,,,,,,,,
68,0.0258,0.9902,0.1970,,,,,,,,,
69,0.0263,0.9897,0.1993,,,,,,,,,
70,0.0281,0.9845,0.2025,,,,,,,,,
71,0.0220,0.9948,0.2000,,,,,,,,,
72,0.0258,0.9862,0.1994,,,,,,,,,
73,0.0264,0.9922,0.1990,,,,,,,,,
74,0.0286,0.9878,0.1984,,,,,,,,,
