x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
0.0269,0.9832,0.2001,0.0013,0.0492,0.0492,0.2001,0.0000,0.9832,0.0000,0.9832,0.0000
0.0258,0.9894,0.1983,0.0013,0.0495,0.0495,0.1983,0.0000,0.9894,0.0000,0.9894,0.0000
0.0230,0.9943,0.1994,0.0012,0.0497,0.0497,0.1994,0.0000,0.9943,0.0000,0.9943,0.0000
0.0241,0.9851,0.2008,0.0012,0.0493,0.0493,0.2008,0.0000,0.9851,0.0000,0.9851,0.0000
0.0200,0.9955,0.1999,0.0010,0.0498,0.0498,0.1999,0.0000,0.9955,0.0000,0.9955,0.0000
0.0234,0.9913,0.1956,0.0012,0.0496,0.0496,0.1956,0.0000,0.9913,0.0000,0.9913,0.0000
0.0239,0.9921,0.2028,0.0012,0.0496,0.0496,0.2028,0.0000,0.9921,0.0000,0.9921,0.0000
0.0274,0.9907,0.2005,0.0014,0.0495,0.0495,0.2005,0.0000,0.9907,0.0000,0.9907,0.0000
0.0257,0.9913,0.1999,0.0013,0.0496,0.0496,0.1999,0.0000,0.9913,0.0000,0.9913,0.0000
0.0261,0.9869,0.2006,0.0013,0.0493,0.0493,0.2006,0.0000,0.9869,0.0000,0.9869,0.0000
0.0220,0.9928,0.2009,0.0011,0.0496,0.0496,0.2009,0.0000,0.9928,0.0000,0.9928,0.0000
0.0229,0.9917,0.1994,0.0011,0.0496,0.0496,0.1994,0.0000,0.9917,0.0000,0.9917,0.0000
0.0275,0.9864,0.2025,0.0014,0.0493,0.0493,0.2025,0.0000,0.9864,0.0000,0.9864,0.0000
0.0220,0.9879,0.2009,0.0011,0.0494,0.0494,0.2009,0.0000,0.9879,0.0000,0.9879,0.0000
0.0267,0.9893,0.1973,0.0013,0.0495,0.0495,0.1973,0.0000,0.9893,0.0000,0.9893,0.0000
0.0255,0.9885,0.1987,0.0013,0.0494,0.0494,0.1987,0.0000,0.9885,0.0000,0.9885,0.0000
0.0253,0.9921,0.2003,0.0013,0.0496,0.0496,0.2003,0.0000,0.9921,0.0000,0.9921,0.0000
0.0236,0.9886,0.2011,0.0012,0.0494,0.0494,0.2011,0.0000,0.9886,0.0000,0.9886,0.0000
0.0272,0.9860,0.2048,0.0014,0.0493,0.0493,0.2048,0.0000,0.9860,0.0000,0.9860,0.0000
0.0289,0.9946,0.1994,0.0014,0.0497,0.0497,0.1994,0.0000,0.9946,0.0000,0.9946,0.0000
0.0285,0.9845,0.1990,0.0014,0.0492,0.0492,0.1990,0.0000,0.9845,0.0000,0.9845,0.0000
0.0255,0.9940,0.2000,0.0013,0.0497,0.0497,0.2000,0.0000,0.9940,0.0000,0.9940,0.0000
0.0234,0.9847,0.1962,0.0012,0.0492,0.0492,0.1962,0.0000,0.9847,0.0000,0.9847,0.0000
0.0234,0.9894,0.2025,0.0012,0.0495,0.0495,0.2025,0.0000,0.9894,0.0000,0.9894,0.0000
0.0231,0.9927,0.1972,0.0012,0.0496,0.0496,0.1972,0.0000,0.9927,0.0000,0.9927,0.0000
0.0252,0.9926,0.2000,0.0013,0.0496,0.0496,0.2000,0.0000,0.9926,0.0000,0.9926,0.0000
0.0253,0.9919,0.2001,0.0013,0.0496,0.0496,0.2001,0.0000,0.9919,0.0000,0.9919,0.0000
0.0264,0.9883,0.1994,0.0013,0.0494,0.0494,0.1994,0.0000,0.9883,0.0000,0.9883,0.0000
0.0252,0.9945,0.1967,0.0013,0.0497,0.0497,0.1967,0.0000,0.9945,0.0000,0.9945,0.0000
0.0277,0.9889,0.1977,0.0014,0.0494,0.0494,0.1977,0.0000,0.9889,0.0000,0.9889,0.0000
0.0256,0.9934,0.2023,0.0013,0.0497,0.0497,0.2023,0.0000,0.9934,0.0000,0.9934,0.0000
0.0229,0.9916,0.1947,0.0011,0.0496,0.0496,0.1947,0.0000,0.9916,0.0000,0.9916,0.0000
0.0262,0.9924,0.2016,0.0013,0.0496,0.0496,0.2016,0.0000,0.9924,0.0000,0.9924,0.0000
0.0277,0.9905,0.2009,0.0014,0.0495,0.0495,0.2009,0.0000,0.9905,0.0000,0.9905,0.0000
0.0250,0.9894,0.2012,0.0012,0.0495,0.0495,0.2012,0.0000,0.9894,0.0000,0.9894,0.0000
0.0255,0.9882,0.1965,0.0013,0.0494,0.0494,0.1965,0.0000,0.9882,0.0000,0.9882,0.0000
0.0283,0.9916,0.1972,0.0014,0.0496,0.0496,0.1972,0.0000,0.9916,0.0000,0.9916,0.0000
0.0267,0.9905,0.2009,0.0013,0.0495,0.0495,0.2009,0.0000,0.9905,0.0000,0.9905,0.0000
0.0245,0.9916,0.1988,0.0012,0.0496,0.0496,0.1988,0.0000,0.9916,0.0000,0.9916,0.0000
0.0217,0.9917,0.1994,0.0011,0.0496,0.0496,0.1994,0.0000,0.9917,0.0000,0.9917,0.0000
0.0248,0.9957,0.1989,0.0012,0.0498,0.0498,0.1989,0.0000,0.9957,0.0000,0.9957,0.0000
0.0259,0.9916,0.2028,0.0013,0.0496,0.0496,0.2028,0.0000,0.9916,0.0000,0.9916,0.0000
0.0258,0.9948,0.1995,0.0013,0.0497,0.0497,0.1995,0.0000,0.9948,0.0000,0.9948,0.0000
0.0287,0.9843,0.1978,0.0014,0.0492,0.0492,0.1978,0.0000,0.9843,0.0000,0.9843,0.0000
0.0234,0.9935,0.2017,0.0012,0.0497,0.0497,0.2017,0.0000,0.9935,0.0000,0.9935,0.0000
0.0257,0.9893,0.2003,0.0013,0.0495,0.0495,0.2003,0.0000,0.9893,0.0000,0.9893,0.0000
0.0269,0.9940,0.2006,0.0013,0.0497,0.0497,0.2006,0.0000,0.9940,0.0000,0.9940,0.0000
0.0283,0.9940,0.1976,0.0014,0.0497,0.0497,0.1976,0.0000,0.9940,0.0000,0.9940,0.0000
0.0277,0.9886,0.1995,0.0014,0.0494,0.0494,0.1995,0.0000,0.9886,0.0000,0.9886,0.0000
0.0274,0.9916,0.1994,0.0014,0.0496,0.0496,0.1994,0.0000,0.9916,0.0000,0.9916,0.0000
0.0284,0.9825,0.1967,0.0014,0.0491,0.0491,0.1967,0.0000,0.9825,0.0000,0.9825,0.0000
0.0269,0.9934,0.1997,0.0013,0.0497,0.0497,0.1997,0.0000,0.9934,0.0000,0.9934,0.0000
0.0224,0.9901,0.1994,0.0011,0.0495,0.0495,0.1994,0.0000,0.9901,0.0000,0.9901,0.0000
0.0257,0.9880,0.2004,0.0013,0.0494,0.0494,0.2004,0.0000,0.9880,0.0000,0.9880,0.0000
0.0206,0.9913,0.2000,0.0010,0.0496,0.0496,0.2000,0.0000,0.9913,0.0000,0.9913,0.0000
0.0261,0.9908,0.2000,0.0013,0.0495,0.0495,0.2000,0.0000,0.9908,0.0000,0.9908,0.0000
0.0291,0.9910,0.2043,0.0015,0.0495,0.0495,0.2043,0.0000,0.9910,0.0000,0.9910,0.0000
0.0258,0.9849,0.1997,0.0013,0.0492,0.0492,0.1997,0.0000,0.9849,0.0000,0.9849,0.0000
0.0237,0.9847,0.1971,0.0012,0.0492,0.0492,0.1971,0.0000,0.9847,0.0000,0.9847,0.0000
0.0236,0.9886,0.1953,0.0012,0.0494,0.0494,0.1953,0.0000,0.9886,0.0000,0.9886,0.0000
0.0262,0.9926,0.1995,0.0013,0.0496,0.0496,0.1995,0.0000,0.9926,0.0000,0.9926,0.0000
0.0257,0.9868,0.1994,0.0013,0.0493,0.0493,0.1994,0.0000,0.9868,0.0000,0.9868,0.0000
0.0273,0.9933,0.1994,0.0014,0.0497,0.0497,0.1994,0.0000,0.9933,0.0000,0.9933,0.0000
0.0258,0.9862,0.2026,0.0013,0.0493,0.0493,0.2026,0.0000,0.9862,0.0000,0.9862,0.0000
0.0275,0.9888,0.2028,0.0014,0.0494,0.0494,0.2028,0.0000,0.9888,0.0000,0.9888,0.0000
0.0274,0.9836,0.1989,0.0014,0.0492,0.0492,0.1989,0.0000,0.9836,0.0000,0.9836,0.0000
0.0251,0.9884,0.2008,0.0013,0.0494,0.0494,0.2008,0.0000,0.9884,0.0000,0.9884,0.0000
0.0247,0.9875,0.1938,0.0012,0.0494,0.0494,0.1938,0.0000,0.9875,0.0000,0.9875,0.0000
0.0258,0.9861,0.2003,0.0013,0.0493,0.0493,0.2003,0.0000,0.9861,0.0000,0.9861,0.0000
0.0222,0.9888,0.1979,0.0011,0.0494,0.0494,0.1979,0.0000,0.9888,0.0000,0.9888,0.0000
0.0286,0.9899,0.2026,0.0014,0.0495,0.0495,0.2026,0.0000,0.9899,0.0000,0.9899,0.0000
0.0247,0.9934,0.1982,0.0012,0.0497,0.0497,0.1982,0.0000,0.9934,0.0000,0.9934,0.0000
0.0242,0.9897,0.2031,0.0012,0.0495,0.0495,0.2031,0.0000,0.9897,0.0000,0.9897,0.0000
0.0261,0.9926,0.2000,0.0013,0.0496,0.0496,0.2000,0.0000,0.9926,0.0000,0.9926,0.0000
0.0247,0.9904,0.1979,0.0012,0.0495,0.0495,0.1979,0.0000,0.9904,0.0000,0.9904,0.0000
0.0231,0.9927,0.1958,0.0012,0.0496,0.0496,0.1958,0.0000,0.9927,0.0000,0.9927,0.0000
0.0274,0.9862,0.1999,0.0014,0.0493,0.0493,0.1999,0.0000,0.9862,0.0000,0.9862,0.0000
0.0257,0.9946,0.1965,0.0013,0.0497,0.0497,0.1965,0.0000,0.9946,0.0000,0.9946,0.0000
0.0231,0.9918,0.1983,0.0012,0.0496,0.0496,0.1983,0.0000,0.9918,0.0000,0.9918,0.0000
0.0247,0.9952,0.1961,0.0012,0.0498,0.0498,0.1961,0.0000,0.9952,0.0000,0.9952,0.0000
0.0283,0.9900,0.2017,0.0014,0.0495,0.0495,0.2017,0.0000,0.9900,0.0000,0.9900,0.0000
0.0266,0.9899,0.1986,0.0013,0.0495,0.0495,0.1986,0.0000,0.9899,0.0000,0.9899,0.0000
0.0283,0.9884,0.1977,0.0014,0.0494,0.0494,0.1977,0.0000,0.9884,0.0000,0.9884,0.0000
0.0256,0.9897,0.2014,0.0013,0.0495,0.0495,0.2014,0.0000,0.9897,0.0000,0.9897,0.0000
0.0246,0.9918,0.1982,0.0012,0.0496,0.0496,0.1982,0.0000,0.9918,0.0000,0.9918,0.0000
0.0289,0.9907,0.1965,0.0014,0.0495,0.0495,0.1965,0.0000,0.9907,0.0000,0.9907,0.0000
0.0212,0.9897,0.1987,0.0011,0.0495,0.0495,0.1987,0.0000,0.9897,0.0000,0.9897,0.0000
