x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
0.1975,-2.3338,-0.5656,0.0020,-0.0233,-0.0233,0.1975,0.0000,0.1975,-2.3338,0.1975,-0.5656
-1.1516,-1.4274,-1.0902,-0.0115,-0.0143,-0.0143,0.0000,-1.1516,0.0000,0.0000,0.0000,-1.0902
-1.3375,-2.7482,-1.6409,-0.0134,-0.0275,-0.0275,0.0000,-1.3375,0.0000,-2.7482,0.0000,-1.6409
-1.1953,-2.8386,-1.7442,-0.0120,-0.0284,-0.0284,0.0000,0.0000,0.0000,-2.8386,0.0000,-1.7442
-0.6103,-1.0775,0.1948,-0.0061,-0.0108,-0.0108,0.1948,-0.6103,0.1948,0.0000,0.1948,0.0000
-0.9939,0.2105,1.0665,-0.0099,0.0021,0.0021,1.0665,-0.9939,1.0665,0.0000,1.0665,0.0000
-1.3817,0.2452,1.1122,-0.0138,0.0025,0.0025,1.1122,-1.3817,1.1122,0.0000,1.1122,0.0000
-1.9704,0.0687,1.0398,-0.0197,0.0007,0.0007,1.0398,-1.9704,1.0398,0.0000,1.0398,0.0000
-2.5466,-0.1258,0.8807,-0.0255,-0.0013,-0.0013,0.8807,-2.5466,0.8807,-0.1258,0.8807,0.0000
-4.0002,-0.4489,0.0853,-0.0400,-0.0045,-0.0045,0.0853,-4.0002,0.0853,-0.4489,0.0853,0.0000
-4.0002,-0.5197,-0.9894,-0.0400,-0.0052,-0.0052,0.0000,0.0000,0.0000,-0.5197,0.0000,-0.9894
-4.0002,2.5989,0.0720,-0.0400,0.0260,0.0260,0.0720,-4.0002,2.5989,0.0000,2.5989,0.0000
-2.8783,0.7662,0.8194,-0.0288,0.0077,0.0077,0.8194,0.0000,0.8194,0.0000,0.8194,0.0000
0.3177,-0.8428,0.3704,0.0032,-0.0084,-0.0084,0.3704,0.0000,0.3704,-0.8428,0.3704,0.0000
1.0902,-1.3830,0.6002,0.0109,-0.0138,-0.0138,1.0902,0.0000,1.0902,-1.3830,1.0902,0.0000
0.7726,-2.9189,-0.3901,0.0077,-0.0292,-0.0292,0.7726,0.0000,0.7726,-2.9189,0.7726,-0.3901
-0.7899,-0.2916,0.4774,-0.0079,-0.0029,-0.0029,0.4774,-0.7899,0.4774,0.0000,0.4774,0.0000
